,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
830,Cole Smith,NSH,L,80,1095.15,9,14,7,7,23,57.5,112,8.04,14.53,194,149,135,77,10,21,63,20,14,5,1,20,26,36,235,144,32,5,12,29.41
831,Connor Mackey,NYR,D,1,16.45,0,0,0,0,0,0.0,1,0.0,0.01,2,1,0,0,0,0,5,1,0,1,0,1,2,0,1,3,3,0,0,
832,Mitchell Chaffee,T.B,R,30,338.65,4,3,1,2,7,58.33,27,14.81,3.07,53,39,38,19,1,7,4,2,2,0,0,6,3,2,88,59,20,0,4,0.0
833,Braden Schneider,NYR,D,82,1304.0,5,14,5,9,19,31.15,95,5.26,4.46,211,130,59,14,5,22,16,8,8,0,0,5,39,25,167,191,133,0,0,
834,Connor Zary,CGY,C,63,962.23333333333,14,20,11,9,34,61.82,90,15.56,10.55,175,123,100,52,5,14,22,11,11,0,0,18,27,16,29,62,29,48,61,44.04
835,Dylan Holloway,EDM,L,38,432.11666666667,6,3,0,3,9,64.29,56,10.71,5.88,109,78,58,33,5,12,29,9,7,1,1,10,9,14,91,61,14,27,20,57.45
836,Lucas Raymond,DET,L,82,1455.7666666667,31,41,24,17,72,72.0,163,19.02,20.17,311,227,187,78,11,25,30,15,15,0,0,40,25,48,69,148,27,4,6,40.0
837,Marco Rossi,MIN,C,82,1371.8666666667,21,19,10,9,40,65.57,167,12.57,20.35,295,238,193,97,11,29,47,18,16,1,1,30,21,33,35,72,37,335,414,44.73
838,Kaiden Guhle,MTL,D,70,1459.55,6,16,7,9,22,36.67,95,6.32,4.4,190,128,54,9,4,12,56,25,23,2,0,11,43,25,116,147,178,0,0,
839,Justin Sourdif,FLA,R,3,26.516666666667,0,0,0,0,0,,2,0.0,0.11,2,2,1,1,0,0,0,0,0,0,0,1,1,0,5,4,2,0,0,
840,Jake Neighbours,STL,L,77,1209.4333333333,27,11,9,2,38,54.29,145,18.62,22.4,233,194,170,105,6,21,21,9,8,1,0,19,17,39,138,133,45,11,18,37.93
841,Ridly Greig,OTT,C,72,1061.5,13,13,10,3,26,47.27,97,13.4,13.6,184,140,110,57,4,15,66,30,28,2,0,24,19,28,129,135,41,197,252,43.88
842,Seth Jarvis,CAR,C,81,1518.75,33,34,20,14,67,56.3,178,18.54,29.81,318,261,233,133,10,32,14,7,7,0,0,18,42,43,115,174,52,157,195,44.6
843,Daemon Hunt,MIN,D,12,138.05,0,1,0,1,1,33.33,7,0.0,0.5,21,13,8,1,0,5,0,0,0,0,0,1,3,1,8,12,17,0,0,
844,Tyler Kleven,OTT,D,9,113.85,0,1,1,0,1,25.0,7,0.0,0.3,13,10,2,0,0,1,2,1,1,0,0,0,5,3,8,23,9,0,0,
845,Jack Quinn,BUF,R,27,422.31666666667,9,10,5,5,19,86.36,56,16.07,8.34,109,85,58,21,3,11,8,4,4,0,0,2,7,9,31,47,12,3,6,33.33
846,Danil Gushchin,S.J,L,4,58.733333333333,1,1,1,0,2,100.0,4,25.0,0.39,12,9,5,1,0,1,0,0,0,0,0,0,0,2,2,5,7,0,1,0.0
847,Vasily Ponomarev,CAR,C,2,19.35,1,1,1,0,2,100.0,1,100.0,0.04,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,4,55.56
848,Jake Sanderson,OTT,D,79,1834.25,10,28,12,16,38,38.0,158,6.33,9.78,355,236,90,14,8,28,23,10,9,1,0,8,82,34,49,169,139,1,0,100.0
849,Alexis Lafrenière,NYR,L,82,1415.9,28,29,20,9,57,65.52,217,12.9,24.95,400,318,255,117,12,28,40,16,15,0,1,25,27,45,73,132,21,17,49,25.76
850,Dawson Mercer,N.J,C,82,1411.8333333333,20,13,6,7,33,63.46,134,14.93,18.49,234,182,146,79,9,27,29,9,7,1,1,9,37,40,30,120,43,119,146,44.91
851,Justin Barron,MTL,D,48,894.1,7,6,2,4,13,38.24,60,11.67,4.02,140,92,45,11,0,12,16,8,8,0,0,4,33,6,61,66,59,0,0,
852,Anton Lundell,FLA,C,78,1199.35,13,22,11,11,35,62.5,166,7.83,18.21,281,221,144,72,14,28,46,18,17,0,1,15,31,32,61,87,40,482,396,54.9
853,Tim Stützle,OTT,C,75,1583.8833333333,18,52,19,33,70,70.71,192,9.38,23.27,367,269,217,87,11,39,28,14,14,0,0,40,68,48,100,151,41,239,273,46.68
854,Lukas Reichel,CHI,L,65,917.18333333333,5,11,7,4,16,69.57,84,5.95,9.62,136,104,82,37,7,11,12,6,6,0,0,7,35,33,27,51,25,86,112,43.43
855,Sam Colangelo,ANA,R,3,37.666666666667,1,0,0,0,1,50.0,7,14.29,0.69,10,8,5,2,0,0,2,1,1,0,0,0,1,2,3,5,2,0,0,
856,Brock Faber,MIN,D,82,2047.8833333333,8,39,18,21,47,42.34,136,5.88,7.44,293,186,88,15,3,23,26,13,13,0,0,6,35,15,65,142,150,0,0,
857,Quinton Byfield,L.A,"C, R",80,1318.7,20,35,21,14,55,63.22,161,12.42,23.85,313,247,189,109,6,35,42,17,16,0,1,17,15,46,66,151,19,41,49,45.56
858,Alexander Holtz,N.J,R,82,954.06666666667,16,12,6,6,28,71.79,122,13.11,11.37,243,180,108,39,6,23,14,6,6,0,0,3,21,10,44,76,17,8,19,29.63
859,Emil Andrae,PHI,D,4,52.0,0,0,0,0,0,0.0,0,,0.0,2,0,2,1,0,0,0,0,0,0,0,0,1,0,5,6,6,0,0,
860,Thomas Bordeleau,S.J,C,27,405.65,6,5,3,2,11,61.11,48,12.5,5.95,89,74,60,26,3,12,18,9,9,0,0,6,5,11,12,26,19,66,59,52.8
861,Lukas Cormier,VGK,D,2,34.566666666667,0,1,1,0,1,50.0,3,0.0,0.23,8,4,4,2,0,2,0,0,0,0,0,0,0,0,1,6,2,0,0,
862,Jamie Drysdale,ANA,D,10,215.88333333333,1,4,2,2,5,71.43,21,4.76,0.92,52,33,8,0,0,4,4,2,2,0,0,0,4,0,8,19,16,0,0,
863,Jamie Drysdale,PHI,D,24,451.31666666667,2,3,2,1,5,38.46,34,5.88,1.34,81,50,18,1,0,9,4,2,2,0,0,2,7,6,18,29,27,0,0,
864,Jack Thompson,S.J,D,2,35.366666666667,0,0,0,0,0,0.0,3,0.0,0.07,6,4,2,0,0,1,0,0,0,0,0,0,0,3,2,1,3,0,0,
865,Jack Thompson,T.B,D,1,11.65,0,0,0,0,0,,1,0.0,0.01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,
866,Mavrik Bourque,DAL,C,1,10.933333333333,0,0,0,0,0,,2,0.0,0.24,7,5,3,1,0,0,0,0,0,0,0,0,0,0,1,3,0,2,4,33.33
867,Luke Evangelista,NSH,R,80,1116.4333333333,16,23,17,6,39,59.09,172,9.3,18.7,278,222,170,85,12,24,18,8,8,0,0,18,46,38,30,114,23,1,3,25.0
868,Jean-Luc Foudy,COL,C,4,25.75,1,0,0,0,1,100.0,2,50.0,0.3,2,2,2,2,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,
869,Hendrix Lapierre,WSH,C,51,583.3,8,14,4,10,22,68.75,51,15.69,5.54,96,78,51,28,3,5,4,1,1,0,0,8,19,19,26,39,31,105,175,37.5
870,Cole Perfetti,WPG,C,71,964.78333333333,19,19,16,3,38,63.33,143,13.29,15.85,232,188,134,72,8,26,12,6,6,0,0,3,12,18,26,71,23,38,63,37.62
871,Brendan Brisson,VGK,C,15,185.05,2,6,3,3,8,66.67,20,10.0,2.22,47,35,24,7,1,4,2,1,1,0,0,1,4,5,13,26,4,4,4,50.0
872,Alex Laferriere,L.A,R,81,1070.8333333333,12,11,7,4,23,58.97,146,8.22,16.51,318,236,177,73,5,32,46,20,18,2,0,18,26,21,113,121,27,7,6,53.85
873,Will Cuylle,NYR,L,81,901.16666666667,13,8,4,4,21,63.64,119,10.92,12.76,207,157,125,64,8,21,56,18,13,4,1,18,18,13,249,104,26,2,8,20.0
874,Tyson Foerster,PHI,R,77,1329.7,20,13,6,7,33,45.21,167,11.98,18.36,320,239,187,78,8,20,32,16,16,0,0,22,12,36,102,89,49,1,2,33.33
875,Roby Jarventie,OTT,L,7,52.65,0,1,0,1,1,100.0,5,0.0,0.67,8,6,5,4,0,1,4,2,2,0,0,0,3,1,5,6,6,11,24,31.43
876,Yan Kuznetsov,CGY,D,1,11.966666666667,0,0,0,0,0,,2,0.0,0.15,4,3,1,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,
877,Shakir Mukhamadullin,S.J,D,3,63.466666666667,0,1,1,0,1,33.33,5,0.0,0.3,12,7,2,1,0,1,4,2,2,0,0,0,2,1,5,3,11,0,0,
878,Landon Slaggert,CHI,L,16,180.23333333333,1,3,1,2,4,50.0,14,7.14,1.61,27,21,18,9,0,1,4,2,2,0,0,4,2,6,16,13,6,0,5,0.0
879,JJ Peterka,BUF,R,82,1344.1833333333,28,22,10,12,50,65.79,226,12.39,22.02,425,319,205,74,16,26,28,10,9,0,1,28,27,39,27,109,18,3,12,20.0
880,Wyatt Kaiser,CHI,D,32,554.0,0,7,1,6,7,35.0,18,0.0,0.68,57,28,19,1,1,7,22,11,11,0,0,6,23,7,22,45,46,0,0,
881,Marat Khusnutdinov,MIN,C,16,209.76666666667,1,3,0,3,4,80.0,6,16.67,1.13,21,16,12,6,2,0,6,3,3,0,0,3,4,7,16,12,9,49,54,47.57
882,Isaak Phillips,CHI,D,33,563.41666666667,0,6,3,3,6,50.0,31,0.0,1.61,84,55,20,5,2,7,22,6,5,0,1,3,21,14,56,43,36,0,0,
883,Adam Raska,MIN,R,5,34.05,0,0,0,0,0,0.0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,12,4,1,0,0,
884,Gage Goncalves,T.B,C,2,19.916666666667,0,0,0,0,0,,0,,0.08,1,1,1,1,0,0,6,3,3,0,0,1,0,1,2,7,0,0,1,0.0
885,Alexander Barabanov,S.J,L,46,730.13333333333,4,9,3,6,13,50.0,67,5.97,9.51,140,109,94,48,4,19,12,6,6,0,0,5,15,18,27,61,15,2,3,40.0
886,Radim Zohorna,PIT,L,33,322.23333333333,4,3,2,1,7,63.64,38,10.53,4.8,68,52,47,23,2,7,18,8,8,0,0,5,7,14,44,31,5,5,5,50.0
887,Artem Zub,OTT,D,69,1450.25,5,20,11,9,25,39.06,85,5.88,4.95,188,129,37,5,4,22,32,16,16,0,0,8,31,14,139,119,122,0,0,
888,Callahan Burke,CAR,C,1,7.1,0,0,0,0,0,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,
889,Bobby McMann,TOR,C,56,647.31666666667,15,9,3,6,24,70.59,118,12.71,10.98,196,159,79,39,18,17,52,15,11,2,2,11,12,21,117,60,18,6,4,60.0
890,Mikael Pyyhtia,CBJ,L,17,223.61666666667,0,2,2,0,2,40.0,22,0.0,1.65,36,27,18,8,3,2,0,0,0,0,0,1,1,3,9,17,20,1,3,25.0
891,Matt Rempe,NYR,C,17,95.633333333333,1,1,1,0,2,50.0,12,8.33,1.51,20,14,18,9,1,3,61,12,3,7,2,7,0,1,50,18,5,4,4,50.0
892,Ilya Solovyov,CGY,D,10,158.95,0,3,1,2,3,60.0,10,0.0,0.34,25,16,4,1,0,4,4,2,2,0,0,0,3,0,14,21,17,0,0,
893,Yegor Chinakhov,CBJ,R,53,803.88333333333,16,13,9,4,29,60.42,110,14.55,9.76,260,176,105,28,11,17,6,3,3,0,0,13,7,28,43,30,28,1,13,7.14
894,Emil Heineman,MTL,L,4,39.816666666667,0,0,0,0,0,0.0,0,,0.25,4,2,2,1,0,1,0,0,0,0,0,0,1,0,7,7,1,0,2,0.0
895,Nils Aman,VAN,C,43,444.36666666667,3,4,3,1,7,63.64,28,10.71,3.72,44,39,35,25,3,7,8,4,4,0,0,4,4,7,31,48,22,72,86,45.57
896,Mason Lohrei,BOS,D,41,695.26666666667,4,9,3,6,13,40.63,43,9.3,2.48,102,59,29,5,1,7,18,9,9,0,0,4,29,9,32,68,63,0,0,
897,Matthew Kessel,STL,D,39,654.98333333333,1,6,2,4,7,35.0,28,3.57,1.17,82,45,28,4,1,12,12,6,6,0,0,2,19,15,40,58,65,0,0,
898,Daniil Miromanov,CGY,D,20,425.13333333333,3,4,2,2,7,36.84,40,7.5,2.71,103,65,27,6,1,14,8,4,4,0,0,0,14,8,5,13,29,0,0,
899,Daniil Miromanov,VGK,D,4,72.2,0,0,0,0,0,0.0,6,0.0,0.26,9,7,3,1,0,2,0,0,0,0,0,1,0,1,2,4,5,0,0,
900,Alex Steeves,TOR,C,1,10.233333333333,0,0,0,0,0,,1,0.0,0.32,3,3,2,1,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,
901,Walker Duehr,CGY,R,40,324.66666666667,2,5,4,1,7,53.85,29,6.9,3.25,62,50,37,20,4,6,6,3,3,0,0,2,8,3,67,27,13,1,5,16.67
902,J.J. Moser,ARI,D,80,1645.7166666667,5,21,8,13,26,36.11,77,6.49,5.11,191,112,84,20,8,11,35,16,15,1,0,11,35,21,99,163,112,0,0,
903,Josh Doan,ARI,R,11,135.4,5,4,2,2,9,81.82,23,21.74,3.81,37,31,31,22,2,3,0,0,0,0,0,2,1,9,7,15,7,5,7,41.67
904,Kent Johnson,CBJ,C,42,568.75,6,10,6,4,16,61.54,62,9.68,5.86,119,86,51,13,0,12,10,4,4,0,0,5,7,16,10,29,16,8,12,40.0
905,Matty Beniers,SEA,C,77,1383.1666666667,15,22,15,7,37,59.68,132,11.36,14.62,272,190,156,71,11,26,20,10,10,0,0,17,31,45,52,126,44,527,584,47.43
906,Scott Morrow,CAR,D,2,36.766666666667,0,0,0,0,0,0.0,6,0.0,0.14,11,8,3,0,0,1,0,0,0,0,0,0,1,0,1,1,2,0,0,
907,William Eklund,S.J,L,80,1492.9666666667,16,29,16,13,45,61.64,128,12.5,19.5,272,205,164,79,8,34,28,14,14,0,0,18,23,24,39,59,72,72,158,31.3
908,Owen Power,BUF,D,76,1741.9166666667,6,27,13,14,33,35.87,108,5.56,6.61,226,158,83,16,3,24,28,10,9,0,1,2,36,20,45,113,115,0,0,
909,Matt Coronato,CGY,R,34,428.78333333333,3,6,4,2,9,47.37,58,5.17,6.2,113,91,54,20,3,9,4,2,2,0,0,4,14,16,7,51,7,5,14,26.32
910,Luke Hughes,N.J,D,82,1760.8333333333,9,38,16,22,47,43.93,135,6.67,6.99,401,199,122,11,6,33,28,14,14,0,0,22,69,42,24,140,55,0,0,
911,Dylan Guenther,ARI,R,45,732.55,18,17,11,6,35,67.31,121,14.88,11.72,227,179,123,34,11,17,14,7,7,0,0,5,16,23,32,58,24,6,23,20.69
912,Logan Stankoven,DAL,C,24,352.13333333333,6,8,5,3,14,56.0,51,11.76,7.27,104,78,59,29,4,10,4,2,2,0,0,7,8,13,20,34,11,11,6,64.71
913,Cole Sillinger,CBJ,C,77,1241.2,13,19,12,7,32,60.38,157,8.28,18.23,281,222,169,73,11,23,46,20,18,2,0,12,21,31,119,86,74,450,522,46.3
914,Oskar Olausson,COL,R,1,11.833333333333,0,0,0,0,0,,2,0.0,0.04,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,
915,Mackie Samoskevich,FLA,R,7,84.266666666667,0,0,0,0,0,,11,0.0,0.99,17,15,9,4,1,1,0,0,0,0,0,1,5,1,5,10,3,0,1,0.0
916,Matthew Knies,TOR,L,80,1094.2,15,20,12,8,35,59.32,115,13.04,13.95,188,161,126,83,10,18,45,21,20,1,0,17,29,38,169,131,30,0,1,0.0
917,Brandt Clarke,L.A,D,16,218.41666666667,2,4,3,1,6,66.67,31,6.45,1.72,54,40,19,5,0,7,10,5,5,0,0,4,2,1,6,18,21,0,0,
918,Logan Mailloux,MTL,D,1,21.233333333333,0,1,0,1,1,50.0,2,0.0,0.1,4,4,1,0,0,0,0,0,0,0,0,1,0,0,1,4,1,0,0,
919,Zack Bolduc,STL,C,25,300.38333333333,5,4,1,3,9,69.23,38,13.16,2.75,64,52,29,11,2,6,6,3,3,0,0,2,10,15,12,25,12,1,1,50.0
920,Wyatt Johnston,DAL,C,82,1394.2,32,33,25,8,65,79.27,216,14.81,29.43,409,308,267,126,16,43,38,19,19,0,0,20,31,39,52,107,42,318,316,50.16
921,James Malatesta,CBJ,L,11,112.38333333333,2,2,0,2,4,100.0,12,16.67,1.27,23,20,13,7,1,1,5,1,0,1,0,3,2,1,41,10,2,0,1,0.0
922,Mason McTavish,ANA,C,64,1041.65,19,23,16,7,42,68.85,130,14.62,16.46,262,191,150,79,9,26,84,37,36,0,1,29,17,23,67,38,33,437,408,51.72
923,Brennan Othmann,NYR,L,3,27.25,0,0,0,0,0,,6,0.0,0.31,9,7,2,2,0,1,0,0,0,0,0,0,0,0,6,5,1,0,0,
924,Joshua Roy,MTL,R,23,279.23333333333,4,5,4,1,9,75.0,34,11.76,5.21,77,62,42,24,1,5,0,0,0,0,0,1,5,9,12,14,21,2,5,28.57
925,Ryan Winterton,SEA,C,9,84.05,0,0,0,0,0,0.0,10,0.0,0.69,18,16,8,3,2,1,0,0,0,0,0,0,1,4,10,12,4,0,1,0.0
926,Simon Edvinsson,DET,D,16,292.08333333333,1,1,1,0,2,15.38,13,7.69,0.73,43,24,13,2,2,1,4,2,2,0,0,2,10,2,26,44,25,0,0,
927,Isak Rosen,BUF,R,7,60.1,0,0,0,0,0,,8,0.0,0.56,11,8,4,4,0,1,0,0,0,0,0,2,0,2,0,7,2,1,5,16.67
928,Zach Dean,STL,C,9,94.983333333333,0,0,0,0,0,,10,0.0,1.02,18,16,9,5,0,1,6,2,2,0,0,1,3,5,10,15,5,21,21,50.0
929,Nikita Chibrikov,WPG,R,1,11.05,1,0,0,0,1,100.0,3,33.33,0.21,5,4,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,
930,Olen Zellweger,ANA,D,26,501.4,2,7,4,3,9,50.0,34,5.88,2.0,96,56,27,2,2,10,4,2,2,0,0,3,18,7,14,57,38,0,0,
931,Ethan Del Mastro,CHI,D,2,37.15,0,0,0,0,0,,0,,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,
932,Jackson Blake,CAR,R,1,15.3,0,0,0,0,0,,2,0.0,0.43,4,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
933,Ryker Evans,SEA,D,36,690.43333333333,1,8,8,0,9,36.0,44,2.27,2.09,102,67,21,4,2,8,20,9,9,0,0,5,7,7,62,74,38,0,0,
934,Zack Ostapchuk,OTT,C,7,73.483333333333,0,0,0,0,0,0.0,5,0.0,0.4,7,6,7,2,2,2,0,0,0,0,0,1,1,4,13,9,6,11,30,26.83
935,Vincent Iorio,WSH,D,6,58.95,0,0,0,0,0,0.0,6,0.0,0.14,9,6,3,0,0,2,0,0,0,0,0,1,5,1,3,10,3,0,0,
936,Emil Lilleberg,T.B,D,37,599.56666666667,0,5,3,2,5,23.81,31,0.0,0.86,77,45,16,0,1,5,16,8,8,0,0,2,14,6,104,107,48,0,0,
937,Arber Xhekaj,MTL,D,44,700.8,3,7,6,1,10,29.41,61,4.92,1.86,156,90,31,1,2,9,81,29,23,5,1,16,28,4,125,39,49,0,0,
938,Logan Morrison,SEA,C,4,52.533333333333,0,0,0,0,0,0.0,6,0.0,0.92,16,10,7,5,0,0,0,0,0,0,0,1,0,3,2,4,8,14,17,45.16
939,Cameron Butler,CBJ,R,1,0.9,0,0,0,0,0,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
940,Arshdeep Bains,VAN,L,8,94.45,0,0,0,0,0,,4,0.0,0.51,10,6,6,3,1,0,6,3,3,0,0,3,1,1,7,9,2,0,2,0.0
941,Marc McLaughlin,BOS,C,1,12.65,1,0,0,0,1,100.0,2,50.0,0.17,2,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,3,25.0
942,Declan Carlile,T.B,D,1,11.45,0,0,0,0,0,0.0,0,,0.04,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,0,0,
943,Marc Johnstone,PIT,R,1,7.3166666666667,0,0,0,0,0,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,1,0,100.0
944,Brandon Scanlin,NYR,D,1,10.766666666667,0,0,0,0,0,,0,,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
945,Logan Cooley,ARI,C,82,1296.8166666667,20,24,18,6,44,67.69,151,13.25,16.52,284,217,147,57,8,21,18,9,9,0,0,26,52,31,50,144,27,262,427,38.03
946,Luca Del Bel Belluz,CBJ,C,1,9.5833333333333,1,0,0,0,1,100.0,2,50.0,0.13,2,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,6,40.0
947,Cutter Gauthier,ANA,L,1,15.4,0,1,1,0,1,100.0,3,0.0,0.18,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
948,Lane Hutson,MTL,D,2,45.433333333333,0,2,2,0,2,100.0,3,0.0,0.21,6,4,3,0,0,0,0,0,0,0,0,0,4,3,1,4,0,0,0,
949,David Jiricek,CBJ,D,43,627.7,1,9,5,4,10,50.0,38,2.63,1.43,94,60,23,4,0,6,22,11,11,0,0,3,20,10,23,62,45,0,0,
950,Kevin Korchinski,CHI,D,76,1490.85,5,10,4,6,15,31.91,93,5.38,2.98,226,134,50,7,5,18,20,10,10,0,0,4,72,23,26,105,82,0,0,
951,Jiri Kulich,BUF,C,1,14.883333333333,0,0,0,0,0,,1,0.0,0.02,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0.0
952,Brad Lambert,WPG,C,1,13.85,0,1,0,1,1,100.0,2,0.0,0.28,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,42.86
953,Tristan Luneau,ANA,D,7,125.1,1,2,0,2,3,50.0,11,9.09,0.52,19,15,5,1,0,2,4,1,1,0,0,1,3,0,9,9,4,0,0,
954,Fraser Minten,TOR,C,4,45.733333333333,0,0,0,0,0,0.0,3,0.0,0.79,11,7,6,3,0,1,2,1,1,0,0,1,2,0,4,8,1,18,19,48.65
955,Pavel Mintyukov,ANA,D,63,1187.2166666667,4,24,10,14,28,50.91,88,4.55,5.24,169,111,53,17,2,22,24,11,11,0,0,13,20,18,85,56,65,0,0,
956,Ivan Miroshnichenko,WSH,L,21,254.95,2,4,1,3,6,66.67,30,6.67,4.87,73,58,43,21,1,10,6,3,3,0,0,3,8,7,50,21,5,0,2,0.0
957,Frank Nazar,CHI,C,3,48.433333333333,1,0,0,0,1,100.0,2,50.0,0.8,9,6,6,3,0,0,0,0,0,0,0,0,3,2,0,3,1,7,15,31.82
958,Simon Nemec,N.J,D,60,1191.7833333333,3,16,13,3,19,32.76,73,4.11,5.16,201,112,65,17,5,27,33,15,14,1,0,11,25,18,22,70,105,0,0,
959,Liam Ohgren,MIN,L,4,58.05,1,1,0,1,2,66.67,8,12.5,0.72,14,11,7,3,2,2,0,0,0,0,0,1,0,2,2,5,0,0,2,0.0
960,Matthew Poitras,BOS,C,33,442.06666666667,5,10,4,6,15,75.0,40,12.5,3.86,77,49,46,19,3,5,6,3,3,0,0,13,15,19,17,54,15,111,143,43.7
961,Matt Savoie,BUF,C,1,3.9166666666667,0,0,0,0,0,,0,,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
962,Juraj Slafkovsky,MTL,L,82,1470.7333333333,20,30,19,11,50,56.18,152,13.16,21.56,314,226,198,98,5,27,55,26,25,1,0,12,42,34,152,153,71,10,10,50.0
963,Shane Wright,SEA,C,8,108.28333333333,4,1,1,0,5,83.33,12,33.33,2.37,28,20,17,7,0,2,0,0,0,0,0,3,5,4,1,7,6,41,40,50.62
964,Brian Halonen,N.J,L,2,16.566666666667,0,0,0,0,0,,2,0.0,0.21,4,4,1,1,0,1,0,0,0,0,0,0,0,1,2,4,0,0,1,0.0
965,Marshall Rifai,TOR,D,2,23.316666666667,0,0,0,0,0,0.0,1,0.0,0.03,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,
966,Lucas Condotta,MTL,L,3,22.5,0,0,0,0,0,0.0,2,0.0,0.22,3,3,1,1,0,1,0,0,0,0,0,2,1,0,5,1,1,5,5,50.0
967,Nick Blankenburg,CBJ,D,12,194.58333333333,1,0,0,0,1,9.09,10,10.0,0.44,28,17,6,1,1,3,4,1,1,0,0,2,3,5,21,20,15,0,0,
968,Georgii Merkulov,BOS,C,4,42.316666666667,0,0,0,0,0,0.0,3,0.0,0.19,7,3,3,1,0,1,0,0,0,0,0,0,0,0,2,4,4,6,22,21.43
969,Ben Meyers,ANA,C,14,146.46666666667,0,2,1,1,2,50.0,5,0.0,0.56,19,11,9,4,2,0,6,3,3,0,0,1,2,2,22,13,3,34,49,40.96
970,Ben Meyers,COL,C,9,86.05,1,0,0,0,1,50.0,7,14.29,0.75,15,11,7,3,0,2,0,0,0,0,0,0,1,1,12,9,0,9,4,69.23
971,Milos Kelemen,ARI,L,10,76.816666666667,0,1,0,1,1,50.0,5,0.0,0.59,12,8,6,5,0,0,0,0,0,0,0,0,1,1,20,20,3,1,3,25.0
972,Adam Klapka,CGY,R,6,40.566666666667,1,0,0,0,1,100.0,4,25.0,0.24,6,4,3,2,0,0,19,4,2,1,1,2,1,1,21,10,3,0,1,0.0
973,Filip Roos,CHI,D,4,58.916666666667,0,0,0,0,0,0.0,2,0.0,0.02,7,4,0,0,0,1,0,0,0,0,0,0,2,0,8,1,2,0,0,
974,Pavol Regenda,ANA,L,5,57.816666666667,0,0,0,0,0,,7,0.0,0.49,10,8,6,2,1,0,2,1,1,0,0,0,0,4,11,4,5,1,5,16.67
975,Maksymilian Szuber,ARI,D,1,16.983333333333,0,0,0,0,0,,1,0.0,0.03,2,2,0,0,0,0,2,1,1,0,0,0,0,1,2,0,1,0,0,
976,Andrei Kuzmenko,CGY,L,29,454.55,14,11,6,5,25,67.57,58,24.14,8.03,115,84,77,43,1,19,6,3,3,0,0,6,9,17,5,29,7,0,0,
977,Andrei Kuzmenko,VAN,L,43,617.11666666667,8,13,7,6,21,41.18,63,12.7,11.0,150,113,105,54,3,21,6,2,2,0,0,9,15,10,9,48,10,1,0,100.0
978,Pierrick Dube,WSH,R,3,27.983333333333,0,0,0,0,0,0.0,3,0.0,0.37,6,5,4,1,0,0,2,1,1,0,0,1,0,0,2,2,3,0,1,0.0
979,Connor Bedard,CHI,C,68,1345.25,22,39,28,11,61,78.21,206,10.68,23.82,401,299,226,69,17,34,28,14,14,0,0,25,57,47,54,77,27,207,325,38.91
980,Zach Benson,BUF,L,71,1030.7333333333,11,19,11,8,30,65.22,98,11.22,15.56,177,141,124,73,8,13,36,18,18,0,0,15,20,31,35,93,35,5,12,29.41
981,Gavin Brindley,CBJ,C,1,12.333333333333,0,0,0,0,0,,0,,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,
982,Leo Carlsson,ANA,C,55,996.0,12,17,11,6,29,58.0,109,11.01,11.13,184,144,110,47,10,13,16,8,8,0,0,16,34,41,28,40,25,195,366,34.76
983,Adam Fantilli,CBJ,C,49,769.8,12,15,10,5,27,75.0,115,10.43,12.33,247,170,121,31,6,32,16,8,8,0,0,13,15,18,63,61,25,171,221,43.62
