,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
602,Klim Kostin,S.J,C,19,279.88333333333,5,5,3,2,10,83.33,21,23.81,2.15,42,31,31,6,1,5,15,6,5,1,0,7,5,7,48,8,11,4,10,28.57
603,Elias Pettersson,VAN,C,82,1611.3333333333,34,55,31,24,89,64.49,207,16.43,28.48,402,301,215,90,15,33,12,6,6,0,0,28,30,50,125,122,68,406,393,50.81
604,Gabriel Vilardi,WPG,C,47,799.35,22,14,12,2,36,60.0,117,18.8,19.24,180,157,148,99,3,22,14,7,7,0,0,19,13,21,14,53,24,27,32,45.76
605,Owen Tippett,PHI,R,78,1293.7166666667,28,25,17,8,53,73.61,289,9.69,24.57,544,402,239,84,26,46,12,6,6,0,0,17,25,33,148,96,47,19,26,42.22
606,Nick Suzuki,MTL,C,82,1743.65,33,44,25,19,77,69.37,185,17.84,22.41,324,266,199,84,12,22,36,16,16,0,0,22,63,41,69,122,48,689,622,52.56
607,Jack Studnicka,S.J,C,17,200.98333333333,0,0,0,0,0,0.0,16,0.0,1.85,34,30,15,6,2,1,6,3,3,0,0,1,8,6,28,22,10,57,85,40.14
608,Jack Studnicka,VAN,C,5,50.95,1,0,0,0,1,33.33,4,25.0,0.34,8,7,4,2,0,0,0,0,0,0,0,0,0,1,8,3,1,4,7,36.36
609,Robert Thomas,STL,C,82,1719.25,26,60,35,25,86,74.14,170,15.29,22.6,326,243,199,79,8,24,48,20,19,0,1,17,54,70,16,88,47,876,773,53.12
610,MacKenzie Entwistle,CHI,R,67,762.93333333333,5,6,2,4,11,68.75,66,7.58,7.51,127,96,74,35,7,8,47,15,11,3,1,14,12,29,139,60,32,172,221,43.77
611,Jason Robertson,DAL,L,82,1502.6333333333,29,51,23,28,80,68.38,231,12.55,23.41,477,334,227,82,15,42,22,11,11,0,0,16,45,60,77,116,31,0,0,
612,Morgan Frost,PHI,C,71,1123.7166666667,13,28,21,7,41,73.21,135,9.63,15.83,259,189,150,71,4,19,22,11,11,0,0,17,29,24,57,47,55,407,416,49.45
613,Max Comtois,CAR,L,1,13.066666666667,0,1,1,0,1,100.0,1,0.0,0.42,5,3,4,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,
614,Shane Bowers,N.J,C,8,75.65,0,0,0,0,0,0.0,7,0.0,0.4,12,8,4,3,0,0,0,0,0,0,0,0,0,0,3,7,3,7,15,31.82
